"Artista";"Titulo";"Duracion";"Categoria";"Idioma";"Carpeta";"Letra";"Cancion";"Video"
"Ana Guerra y Aitana Ocaña";"Lo malo";"N/A";"Pop";"Español";"Ana Guerra y Aitana Ocaña - Lo malo.txt";"C:\UltraStar canciones\Ana Guerra y Aitana Ocaña - Lo malo\Ana Guerra y Aitana Ocaña - Lo malo.txt";"C:\UltraStar canciones\Ana Guerra y Aitana Ocaña - Lo malo\Ana Guerra y Aitana Ocaña - Lo malo.mp3";"C:\UltraStar canciones\Ana Guerra y Aitana Ocaña - Lo malo\Ana Guerra y Aitana Ocaña - Lo malo.mp4"
"Ana Guerra y Aitana Ocaña";"Lo malo";"N/A";"Pop";"Español";"Ana Guerra y Aitana Ocaña - Lo malo [MULTI].txt";"C:\UltraStar canciones\Ana Guerra y Aitana Ocaña - Lo malo\Ana Guerra y Aitana Ocaña - Lo malo [MULTI].txt";"C:\UltraStar canciones\Ana Guerra y Aitana Ocaña - Lo malo\Ana Guerra y Aitana Ocaña - Lo malo.mp3";"C:\UltraStar canciones\Ana Guerra y Aitana Ocaña - Lo malo\Ana Guerra y Aitana Ocaña - Lo malo.mp4"
"Ana Mena";"Madrid city";"N/A";"Pop electrónico";"Español";"Ana Mena - Madrid city.txt";"C:\UltraStar canciones\Ana Mena - Madrid city\Ana Mena - Madrid city.txt";"C:\UltraStar canciones\Ana Mena - Madrid city\Ana Mena - Madrid city.mp3";"C:\UltraStar canciones\Ana Mena - Madrid city\Ana Mena - Madrid city.webm"
"Ana Mena";"Un clásico";"N/A";"Pop";"Español";"Ana Mena - Un clásico.txt";"C:\UltraStar canciones\Ana Mena - Un clásico\Ana Mena - Un clásico.txt";"C:\UltraStar canciones\Ana Mena - Un clásico\Ana Mena - Un clásico.mp3";"C:\UltraStar canciones\Ana Mena - Un clásico\Ana Mena - Un clásico.webm"
"Anastacia";"I'm Outta Love";"N/A";"Pop";"English";"Anastacia - I'm Outta Love.txt";"C:\UltraStar canciones\A\Anastacia - I'm Outta Love\Anastacia - I'm Outta Love.txt";"N/A";"N/A"
"Anastacia";"Left Outside Alone";"N/A";"N/A";"English";"Anastacia - Left Outside Alone.txt";"C:\UltraStar canciones\A\Anastacia - Left Outside Alone\Anastacia - Left Outside Alone.txt";"N/A";"N/A"
"Anastacia";"One Day In Your Life";"N/A";"N/A";"English";"Anastacia - One Day In Your Life.txt";"C:\UltraStar canciones\A\Anastacia - One Day In Your Life\Anastacia - One Day In Your Life.txt";"N/A";"N/A"
"Anastacia";"Sick And Tired";"N/A";"N/A";"English";"Anastacia - Sick And Tired.txt";"C:\UltraStar canciones\A\Anastacia - Sick And Tired\Anastacia - Sick And Tired.txt";"N/A";"N/A"
"Andrea Bocelli";"Cuando me enamoro";"N/A";"Romantica";"Español";"Andrea Bocelli - Cuando me enamoro.txt";"C:\UltraStar canciones\Andrea Bocelli - Cuando me enamoro\Andrea Bocelli - Cuando me enamoro.txt";"C:\UltraStar canciones\Andrea Bocelli - Cuando me enamoro\Andrea Bocelli - Cuando me enamoro.mp3";"C:\UltraStar canciones\Andrea Bocelli - Cuando me enamoro\Andrea Bocelli - Cuando me enamoro.avi"
"Andrea Bocelli";"Por ti volaré";"N/A";"N/A";"Español";"Andrea Bocelli - Por ti volaré.txt";"C:\UltraStar canciones\Andrea Bocelli - Por ti volaré\Andrea Bocelli - Por ti volaré.txt";"C:\UltraStar canciones\Andrea Bocelli - Por ti volaré\Andrea Bocelli - Por ti volaré.mp3";"N/A"
"Andrea Bocelli y Marta Sánchez";"Vivo por ella";"N/A";"N/A";"Español";"Andrea Bocelli y Marta Sánchez - Vivo por ella.txt";"C:\UltraStar canciones\Andrea Bocelli y Marta Sánchez - Vivo por ella\Andrea Bocelli y Marta Sánchez - Vivo por ella.txt";"C:\UltraStar canciones\Andrea Bocelli y Marta Sánchez - Vivo por ella\Andrea Bocelli y Marta Sánchez - Vivo por ella.mp3";"C:\UltraStar canciones\Andrea Bocelli y Marta Sánchez - Vivo por ella\Andrea Bocelli y Marta Sánchez - Vivo por ella.avi"
"Andrea Bocelli y Marta Sánchez";"Vivo por ella";"N/A";"N/A";"Español";"Andrea Bocelli y Marta Sánchez - Vivo por ella [MULTI].txt";"C:\UltraStar canciones\Andrea Bocelli y Marta Sánchez - Vivo por ella\Andrea Bocelli y Marta Sánchez - Vivo por ella [MULTI].txt";"C:\UltraStar canciones\Andrea Bocelli y Marta Sánchez - Vivo por ella\Andrea Bocelli y Marta Sánchez - Vivo por ella.mp3";"C:\UltraStar canciones\Andrea Bocelli y Marta Sánchez - Vivo por ella\Andrea Bocelli y Marta Sánchez - Vivo por ella.avi"
"Andrea Gómez, Sara Gómez & Romina Marroquín Payró";"¿Y si hacemos un muñeco?";"N/A";"Soundtrack";"Español";"Andrea Gómez, Sara Gómez & Romina Marroquín Payró - ¿Y si hacemos un muñeco.txt";"C:\UltraStar canciones\Andrea Gómez, Sara Gómez & Romina Marroquín Payró - ¿Y si hacemos un muñeco\Andrea Gómez, Sara Gómez & Romina Marroquín Payró - ¿Y si hacemos un muñeco.txt";"C:\UltraStar canciones\Andrea Gómez, Sara Gómez & Romina Marroquín Payró - ¿Y si hacemos un muñeco\Andrea Gómez, Sara Gómez & Romina Marroquín Payró - ¿Y si hacemos un muñeco.mp3";"C:\UltraStar canciones\Andrea Gómez, Sara Gómez & Romina Marroquín Payró - ¿Y si hacemos un muñeco\Andrea Gómez, Sara Gómez & Romina Marroquín Payró - ¿Y si hacemos un muñeco.mp4"
"Andr�s Calamaro";"Flaca";"N/A";"Pop";"Espa�ol";"Andrés Calamaro - Flaca.txt";"C:\UltraStar canciones\Andrés Calamaro - Flaca\Andrés Calamaro - Flaca.txt";"C:\UltraStar canciones\Andrés Calamaro - Flaca\Andrés Calamaro - Flaca.mp3";"C:\UltraStar canciones\Andrés Calamaro - Flaca\Andrés Calamaro - Flaca.avi"
"Annett Louisan";"Das Spiel";"N/A";"N/A";"N/A";"Annett Louisan - Das Spiel.txt";"C:\UltraStar canciones\A\Annett Louisan - Das Spiel\Annett Louisan - Das Spiel.txt";"N/A";"N/A"
"Annie Lennox";"Sweet Dreams";"N/A";"N/A";"N/A";"Annie Lennox - Sweet Dreams.txt";"C:\UltraStar canciones\A\Annie Lennox - Sweet Dreams\Annie Lennox - Sweet Dreams.txt";"N/A";"N/A"
"Apocalyptica feat. Nina Hagen";"Seemann";"N/A";"N/A";"German";"Apocalyptica feat. Nina Hagen - Seemann.txt";"C:\UltraStar canciones\A\Apocalyptica feat. Nina Hagen - Seemann\Apocalyptica feat. Nina Hagen - Seemann.txt";"N/A";"N/A"
"Apocalyptica feat. Nina Hagen";"Seemann";"N/A";"N/A";"German";"Apocalyptica feat. Nina Hagen - Seemann.txt";"C:\UltraStar canciones\A\Apocalyptica - Seemann\Apocalyptica feat. Nina Hagen - Seemann.txt";"N/A";"N/A"
"Apocalyptica ft. Adam Gontier";"I Don’t Care";"N/A";"Alternative Metal";"English";"Apocalyptica ft. Adam Gontier - I Don’t Care.txt";"C:\UltraStar canciones\A\Apocalyptica - I don't care\Apocalyptica ft. Adam Gontier - I Don’t Care.txt";"N/A";"N/A"
"Aqua";"Barbie Girl";"N/A";"N/A";"N/A";"Aqua - Barbie Girl.txt";"C:\UltraStar canciones\A\Aqua - Barbie Girl\Aqua - Barbie Girl.txt";"N/A";"N/A"
"Arde Bogotá";"La salvación";"N/A";"Indie";"Español";"Arde Bogotá - La salvación.txt";"C:\UltraStar canciones\Arde Bogotá - La salvación\Arde Bogotá - La salvación.txt";"C:\UltraStar canciones\Arde Bogotá - La salvación\Arde Bogotá - La salvación.mp3";"C:\UltraStar canciones\Arde Bogotá - La salvación\Arde Bogotá - La salvación.webm"
