"Artista";"Titulo";"Duracion";"Categoria";"Idioma";"Carpeta";"Letra";"Cancion";"Video"
"Shakira";"Si te vas";"N/A";"Rock/Pop";"Espa�ol";"Shakira - Si te vas.txt";"C:\UltraStar canciones\Shakira - Si te vas\Shakira - Si te vas.txt";"C:\UltraStar canciones\Shakira - Si te vas\Shakira - Si te vas.mp3";"C:\UltraStar canciones\Shakira - Si te vas\Shakira - Si te vas.mp4"
"Shakira";"Suerte";"N/A";"N/A";"Espa�ol";"Shakira - Suerte.txt";"C:\UltraStar canciones\Shakira - Suerte\Shakira - Suerte.txt";"C:\UltraStar canciones\Shakira - Suerte\Shakira - Suerte.mp3";"C:\UltraStar canciones\Shakira - Suerte\Shakira - Suerte.avi"
"Shakira";"Suerte";"N/A";"N/A";"N/A";"Shakira - Suerte.txt";"C:\UltraStar canciones\S\Shakira - Suerte\Shakira - Suerte.txt";"N/A";"N/A"
"Shakira";"Te aviso, te anuncio (Tango)";"N/A";"Pop";"Español";"Shakira - Te aviso, te anuncio (Tango).txt";"C:\UltraStar canciones\Shakira - Te aviso, te anuncio (Tango)\Shakira - Te aviso, te anuncio (Tango).txt";"C:\UltraStar canciones\Shakira - Te aviso, te anuncio (Tango)\Shakira - Te aviso, te anuncio (Tango).mp3";"C:\UltraStar canciones\Shakira - Te aviso, te anuncio (Tango)\Shakira - Te aviso, te anuncio (Tango).mp4"
"Shakira";"Try Everything";"N/A";"N/A";"N/A";"Shakira - Try Everything.txt";"C:\UltraStar canciones\S\Shakira - Try Everything\Shakira - Try Everything.txt";"N/A";"N/A"
"Shakira";"Tú";"N/A";"N/A";"Español";"Shakira - Tú.txt";"C:\UltraStar canciones\Shakira - Tú\Shakira - Tú.txt";"C:\UltraStar canciones\Shakira - Tú\Shakira - Tú.mp3";"C:\UltraStar canciones\Shakira - Tú\Shakira - Tú.mkv"
"Shakira";"Un poco de amor";"N/A";"N/A";"Español";"Shakira - Un poco de amor.txt";"C:\UltraStar canciones\Shakira - Un poco de amor\Shakira - Un poco de amor.txt";"C:\UltraStar canciones\Shakira - Un poco de amor\Shakira - Un poco de amor.mp3";"C:\UltraStar canciones\Shakira - Un poco de amor\Shakira - Un poco de amor.mp4"
"Shakira";"Waka Waka (This Time for Africa)";"N/A";"Pop";"English";"Shakira - Waka Waka (This Time for Africa).txt";"C:\UltraStar canciones\S\Shakira - Waka Waka (This Time for Africa)\Shakira - Waka Waka (This Time for Africa).txt";"N/A";"N/A"
"Shakira";"Whenever wherever";"N/A";"N/A";"N/A";"Shakira - Whenever wherever.txt";"C:\UltraStar canciones\S\Shakira - Whenever Wherever\Shakira - Whenever wherever.txt";"N/A";"N/A"
"Shakira & Dizzee Rascal";"Loca";"N/A";"Pop";"English";"Shakira & Dizzee Rascal - Loca.txt";"C:\UltraStar canciones\Shakira & Dizzee Rascal - Loca\Shakira & Dizzee Rascal - Loca.txt";"C:\UltraStar canciones\Shakira & Dizzee Rascal - Loca\Shakira & Dizzee Rascal - Loca.mp3";"C:\UltraStar canciones\Shakira & Dizzee Rascal - Loca\Shakira & Dizzee Rascal - Loca.avi"
"Shakira & El Cata";"Loca";"N/A";"Pop";"Español";"Shakira & El Cata - Loca.txt";"C:\UltraStar canciones\Shakira & El Cata - Loca\Shakira & El Cata - Loca.txt";"C:\UltraStar canciones\Shakira & El Cata - Loca\Shakira & El Cata - Loca.mp3";"C:\UltraStar canciones\Shakira & El Cata - Loca\Shakira & El Cata - Loca.avi"
"Shakira & Rihanna";"Can't Remember to Forget You";"N/A";"Pop";"English";"Shakira & Rihanna - Can't Remember to Forget You [MULTI].txt";"C:\UltraStar canciones\Shakira & Rihanna - Can't Remember to Forget You\Shakira & Rihanna - Can't Remember to Forget You [MULTI].txt";"C:\UltraStar canciones\Shakira & Rihanna - Can't Remember to Forget You\Shakira & Rihanna - Can't Remember to Forget You.mp3";"C:\UltraStar canciones\Shakira & Rihanna - Can't Remember to Forget You\Shakira & Rihanna - Can't Remember to Forget You.mp4"
"Shakira & Rihanna";"Can't Remember to Forget You";"N/A";"Pop";"English";"Shakira & Rihanna - Can't Remember to Forget You.txt";"C:\UltraStar canciones\Shakira & Rihanna - Can't Remember to Forget You\Shakira & Rihanna - Can't Remember to Forget You.txt";"C:\UltraStar canciones\Shakira & Rihanna - Can't Remember to Forget You\Shakira & Rihanna - Can't Remember to Forget You.mp3";"C:\UltraStar canciones\Shakira & Rihanna - Can't Remember to Forget You\Shakira & Rihanna - Can't Remember to Forget You.mp4"
"Shakira y Alejandro Sanz";"La tortura";"N/A";"Pop";"Espa�ol";"Shakira y Alejandro Sanz - La tortura [MULTI].txt";"C:\UltraStar canciones\Shakira y Alejandro Sanz - La tortura\Shakira y Alejandro Sanz - La tortura [MULTI].txt";"C:\UltraStar canciones\Shakira y Alejandro Sanz - La tortura\Shakira y Alejandro Sanz - La tortura.mp3";"C:\UltraStar canciones\Shakira y Alejandro Sanz - La tortura\Shakira y Alejandro Sanz - La tortura.mp4"
"Shakira y Alejandro Sanz";"La tortura";"N/A";"Pop";"Espa�ol";"Shakira y Alejandro Sanz - La tortura.txt";"C:\UltraStar canciones\Shakira y Alejandro Sanz - La tortura\Shakira y Alejandro Sanz - La tortura.txt";"C:\UltraStar canciones\Shakira y Alejandro Sanz - La tortura\Shakira y Alejandro Sanz - La tortura.mp3";"C:\UltraStar canciones\Shakira y Alejandro Sanz - La tortura\Shakira y Alejandro Sanz - La tortura.mp4"
"Shakira y Maluma";"Chantaje";"N/A";"Latin";"Español";"Shakira y Maluma - Chantaje.txt";"C:\UltraStar canciones\Shakira y Maluma - Chantaje\Shakira y Maluma - Chantaje.txt";"C:\UltraStar canciones\Shakira y Maluma - Chantaje\Shakira y Maluma - Chantaje.mp3";"C:\UltraStar canciones\Shakira y Maluma - Chantaje\Shakira y Maluma - Chantaje.mp4"
"Shakira y Maluma";"Chantaje";"N/A";"Latin";"Español";"Shakira y Maluma - Chantaje [MULTI].txt";"C:\UltraStar canciones\Shakira y Maluma - Chantaje\Shakira y Maluma - Chantaje [MULTI].txt";"C:\UltraStar canciones\Shakira y Maluma - Chantaje\Shakira y Maluma - Chantaje.mp3";"C:\UltraStar canciones\Shakira y Maluma - Chantaje\Shakira y Maluma - Chantaje.mp4"
"Shakira y Ozuna";"Monotonía";"N/A";"Bachata";"Español";"Shakira y Ozuna - Monotonía [MULTI].txt";"C:\UltraStar canciones\Shakira y Ozuna - Monotonía\Shakira y Ozuna - Monotonía [MULTI].txt";"C:\UltraStar canciones\Shakira y Ozuna - Monotonía\Shakira y Ozuna - Monotonía.mp3";"C:\UltraStar canciones\Shakira y Ozuna - Monotonía\Shakira y Ozuna - Monotonía.webm"
"Shakira y Ozuna";"Monotonía";"N/A";"Bachata";"Español";"Shakira y Ozuna - Monotonía.txt";"C:\UltraStar canciones\Shakira y Ozuna - Monotonía\Shakira y Ozuna - Monotonía.txt";"C:\UltraStar canciones\Shakira y Ozuna - Monotonía\Shakira y Ozuna - Monotonía.mp3";"C:\UltraStar canciones\Shakira y Ozuna - Monotonía\Shakira y Ozuna - Monotonía.webm"
"Shakira y Rauw Alejandro";"Te felicito";"N/A";"Latin";"Español";"Shakira y Rauw Alejandro - Te felicito.txt";"C:\UltraStar canciones\Shakira y Rauw Alejandro - Te felicito\Shakira y Rauw Alejandro - Te felicito.txt";"C:\UltraStar canciones\Shakira y Rauw Alejandro - Te felicito\Shakira y Rauw Alejandro - Te felicito.mp3";"C:\UltraStar canciones\Shakira y Rauw Alejandro - Te felicito\Shakira y Rauw Alejandro - Te felicito.webm"
"Shawn Mendes";"Stitches";"N/A";"Pop";"English";"Shawn Mendes - Stitches.txt";"C:\UltraStar canciones\S\Shawn Mendes - Stitches\Shawn Mendes - Stitches.txt";"N/A";"N/A"
"Sido";"Bilder im Kopf";"N/A";"N/A";"German";"Sido - Bilder im Kopf.txt";"C:\UltraStar canciones\S\Sido - Bilder im Kopf\Sido - Bilder im Kopf.txt";"N/A";"N/A"
"Silbermond";"Das Beste";"N/A";"N/A";"German";"Silbermond - Das Beste.txt";"C:\UltraStar canciones\S\Silbermond - Das Beste\Silbermond - Das Beste.txt";"N/A";"N/A"
"Silbermond";"Irgendwas bleibt";"N/A";"N/A";"German";"Silbermond - Irgendwas bleibt.txt";"C:\UltraStar canciones\S\Silbermond - Irgendwas bleibt\Silbermond - Irgendwas bleibt.txt";"N/A";"N/A"
"Silbermond";"Symphonie";"N/A";"N/A";"German";"Silbermond - Symphonie.txt";"C:\UltraStar canciones\S\Silbermond - Symphonie\Silbermond - Symphonie.txt";"N/A";"N/A"
"Simon & Garfunkel";"The Sound of Silence";"N/A";"N/A";"Englisch";"Simon & Garfunkel - The Sound of Silence.txt";"C:\UltraStar canciones\S\Simon & Garfunkel - The Sound of Silence\Simon & Garfunkel - The Sound of Silence.txt";"N/A";"N/A"
"Simple Minds";"Don't You Forget About Me";"N/A";"N/A";"N/A";"Simple Minds - Don't You Forget About Me.TXT";"C:\UltraStar canciones\S\Simple Minds - Don't You Forget About Me\Simple Minds - Don't You Forget About Me.TXT";"N/A";"N/A"
"Sin Bandera";"Entra en mi vida";"N/A";"N/A";"Español";"Sin Bandera - Entra en mi vida.txt";"C:\UltraStar canciones\Sin Bandera - Entra en mi vida\Sin Bandera - Entra en mi vida.txt";"C:\UltraStar canciones\Sin Bandera - Entra en mi vida\Sin Bandera - Entra en mi vida.mp3";"C:\UltraStar canciones\Sin Bandera - Entra en mi vida\Sin Bandera - Entra en mi vida.avi"
"Sin Bandera";"Kil�metros";"N/A";"N/A";"Espa�ol";"Sin Bandera - Kilómetros.txt";"C:\UltraStar canciones\Sin Bandera - Kilómetros\Sin Bandera - Kilómetros.txt";"C:\UltraStar canciones\Sin Bandera - Kilómetros\Sin Bandera - Kilómetros.mp3";"C:\UltraStar canciones\Sin Bandera - Kilómetros\Sin Bandera - Kilómetros.avi"
"Sin Bandera";"Mientes tan bien";"N/A";"Pop";"Español";"Sin Bandera - Mientes tan bien.txt";"C:\UltraStar canciones\Sin Bandera - Mientes tan bien\Sin Bandera - Mientes tan bien.txt";"C:\UltraStar canciones\Sin Bandera - Mientes tan bien\Sin Bandera - Mientes tan bien.mp3";"N/A"
"Sin Bandera";"Que lloro";"N/A";"N/A";"Espa�ol";"Sin Bandera - Que lloro.txt";"C:\UltraStar canciones\Sin Bandera - Que lloro\Sin Bandera - Que lloro.txt";"C:\UltraStar canciones\Sin Bandera - Que lloro\Sin Bandera - Que lloro.mp3";"C:\UltraStar canciones\Sin Bandera - Que lloro\Sin Bandera - Que lloro.avi"
"Sin Bandera";"Suelta mi mano";"N/A";"N/A";"Español";"Sin Bandera - Suelta mi mano.txt";"C:\UltraStar canciones\Sin Bandera - Suelta mi mano\Sin Bandera - Suelta mi mano.txt";"C:\UltraStar canciones\Sin Bandera - Suelta mi mano\Sin Bandera - Suelta mi mano.mp3";"N/A"
"Sin Bandera";"Te vi venir";"N/A";"Pop";"Español";"Sin Bandera - Te vi venir.txt";"C:\UltraStar canciones\Sin Bandera - Te vi venir\Sin Bandera - Te vi venir.txt";"C:\UltraStar canciones\Sin Bandera - Te vi venir\Sin Bandera - Te vi venir.mp3";"N/A"
"Sister Sledge";"We Are Family";"N/A";"N/A";"English";"Sister Sledge - We Are Family.txt";"C:\UltraStar canciones\S\Sister Sledge - We Are Family\Sister Sledge - We Are Family.txt";"N/A";"N/A"
"Ska-P";"Cannabis";"N/A";"N/A";"Espa�ol";"Ska-P - Cannabis.txt";"C:\UltraStar canciones\Ska-P - Cannabis\Ska-P - Cannabis.txt";"C:\UltraStar canciones\Ska-P - Cannabis\Ska-P - Cannabis.mp3";"C:\UltraStar canciones\Ska-P - Cannabis\Ska-P - Cannabis.avi"
"Ska-P";"El gato López";"N/A";"Rock";"Español";"Ska-P - El gato López.txt";"C:\UltraStar canciones\Ska-P - El gato López\Ska-P - El gato López.txt";"C:\UltraStar canciones\Ska-P - El gato López\Ska-P - El gato López.mp3";"C:\UltraStar canciones\Ska-P - El gato López\Ska-P - El gato López.avi"
"Ska-P";"El vals del obrero";"N/A";"Rock";"Espa�ol";"Ska-P - El vals del obrero.txt";"C:\UltraStar canciones\Ska-P - El vals del obrero\Ska-P - El vals del obrero.txt";"C:\UltraStar canciones\Ska-P - El vals del obrero\Ska-P - El vals del obrero.mp3";"C:\UltraStar canciones\Ska-P - El vals del obrero\Ska-P - El vals del obrero.avi"
"Ska-P";"Mestizaje";"N/A";"Rock";"Español";"Ska-P - Mestizaje.txt";"C:\UltraStar canciones\Ska-P - Mestizaje\Ska-P - Mestizaje.txt";"C:\UltraStar canciones\Ska-P - Mestizaje\Ska-P - Mestizaje.mp3";"N/A"
"Ska-P";"Niño soldado";"N/A";"Rock";"Español";"Ska-P - Niño soldado.txt";"C:\UltraStar canciones\Ska-P - Niño soldado\Ska-P - Niño soldado.txt";"C:\UltraStar canciones\Ska-P - Niño soldado\Ska-P - Niño soldado.mp3";"C:\UltraStar canciones\Ska-P - Niño soldado\Ska-P - Niño soldado.avi"
"Ska-P";"Romero el madero";"N/A";"Rock";"Español";"Ska-P - Romero el madero.txt";"C:\UltraStar canciones\Ska-P - Romero el madero\Ska-P - Romero el madero.txt";"C:\UltraStar canciones\Ska-P - Romero el madero\Ska-P - Romero el madero.mp3";"C:\UltraStar canciones\Ska-P - Romero el madero\Ska-P - Romero el madero.avi"
"Ska-P";"T�o Sam";"N/A";"N/A";"Espa�ol";"Ska-P - Tío Sam.txt";"C:\UltraStar canciones\Ska-P - Tío Sam\Ska-P - Tío Sam.txt";"C:\UltraStar canciones\Ska-P - Tío Sam\Ska-P - Tío Sam.mp3";"N/A"
"Ska-P";"�apa es";"N/A";"N/A";"Espa�ol";"Ska-P - Ñapa es.txt";"C:\UltraStar canciones\Ska-P - Ñapa es\Ska-P - Ñapa es.txt";"C:\UltraStar canciones\Ska-P - Ñapa es\Ska-P - Ñapa es.mp3";"C:\UltraStar canciones\Ska-P - Ñapa es\Ska-P - Ñapa es.avi"
"Slipknot";"Before I Forget";"N/A";"Metal";"English";"Slipknot - Before I Forget.txt";"C:\UltraStar canciones\S\Slipknot - Before I Forget\Slipknot - Before I Forget.txt";"N/A";"N/A"
"Slipknot";"Duality";"N/A";"N/A";"Englisch";"Slipknot - Duality.txt";"C:\UltraStar canciones\S\Slipknot - Duality\Slipknot - Duality.txt";"N/A";"N/A"
"Smash Mouth";"All Star";"N/A";"N/A";"N/A";"Smash Mouth - All Star.txt";"C:\UltraStar canciones\S\Smash Mouth - All Star\Smash Mouth - All Star.txt";"N/A";"N/A"
"SMiLE.dk";"Butterfly";"N/A";"N/A";"N/A";"SMiLE.dk - Butterfly.txt";"C:\UltraStar canciones\S\SMiLE.dk - Butterfly\SMiLE.dk - Butterfly.txt";"N/A";"N/A"
"Snow Patrol";"Chasing Cars";"N/A";"Pop";"English";"Snow Patrol - Chasing Cars.txt";"C:\UltraStar canciones\S\Snow Patrol - Chasing Cars\Snow Patrol - Chasing Cars.txt";"N/A";"N/A"
"Snow Patrol";"Run";"N/A";"Rock";"English";"Snow Patrol - Run.txt";"C:\UltraStar canciones\S\Snow Patrol - Run\Snow Patrol - Run.txt";"N/A";"N/A"
"Soda Stereo";"Cuando Pase el Temblor";"N/A";"Rock";"Español";"Soda Stereo - Cuando Pase el Temblor.txt";"C:\UltraStar canciones\Soda Stereo - Cuando Pase el Temblor\Soda Stereo - Cuando Pase el Temblor.txt";"C:\UltraStar canciones\Soda Stereo - Cuando Pase el Temblor\Soda Stereo - Cuando Pase el Temblor.mp3";"C:\UltraStar canciones\Soda Stereo - Cuando Pase el Temblor\Soda Stereo - Cuando Pase el Temblor.avi"
"Soda Stereo";"De música ligera";"N/A";"Rock Latino";"Español";"Soda Stereo - De música ligera.txt";"C:\UltraStar canciones\Soda Stereo - De música ligera\Soda Stereo - De música ligera.txt";"C:\UltraStar canciones\Soda Stereo - De música ligera\Soda Stereo - De música ligera.mp3";"C:\UltraStar canciones\Soda Stereo - De música ligera\Soda Stereo - De música ligera.mp4"
"Soda Stereo";"Ella usó mi cabeza como un revólver";"N/A";"Rock";"Español";"Soda Stereo - Ella usó mi cabeza como un revólver.txt";"C:\UltraStar canciones\Soda Stereo - Ella usó mi cabeza como un revólver\Soda Stereo - Ella usó mi cabeza como un revólver.txt";"C:\UltraStar canciones\Soda Stereo - Ella usó mi cabeza como un revólver\Soda Stereo - Ella usó mi cabeza como un revólver.mp3";"C:\UltraStar canciones\Soda Stereo - Ella usó mi cabeza como un revólver\Soda Stereo - Ella usó mi cabeza como un revólver.mp4"
"Soda Stereo";"En la ciudad de la furia";"N/A";"N/A";"Espa�ol";"Soda Stereo - En la ciudad de la furia.txt";"C:\UltraStar canciones\Soda Stereo - En la ciudad de la furia\Soda Stereo - En la ciudad de la furia.txt";"C:\UltraStar canciones\Soda Stereo - En la ciudad de la furia\Soda Stereo - En la ciudad de la furia.mp3";"C:\UltraStar canciones\Soda Stereo - En la ciudad de la furia\Soda Stereo - En la ciudad de la furia.mp4"
"Soda Stereo";"Juegos de seducci�n";"N/A";"Rock";"Espa�ol";"Soda Stereo - Juegos de seducción.txt";"C:\UltraStar canciones\Soda Stereo - Juegos de seducción\Soda Stereo - Juegos de seducción.txt";"C:\UltraStar canciones\Soda Stereo - Juegos de seducción\Soda Stereo - Juegos de seducción.mp3";"N/A"
"Soda Stereo";"Nada personal";"N/A";"Rock";"Español";"Soda Stereo - Nada personal.txt";"C:\UltraStar canciones\Soda Stereo - Nada personal\Soda Stereo - Nada personal.txt";"C:\UltraStar canciones\Soda Stereo - Nada personal\Soda Stereo - Nada personal.mp3";"N/A"
"Soda Stereo";"Persiana Americana";"N/A";"Rock";"Espa�ol";"Soda Stereo - Persiana Americana.txt";"C:\UltraStar canciones\Soda Stereo - Persiana Americana\Soda Stereo - Persiana Americana.txt";"C:\UltraStar canciones\Soda Stereo - Persiana Americana\Soda Stereo - Persiana Americana.mp3";"C:\UltraStar canciones\Soda Stereo - Persiana Americana\Soda Stereo - Persiana Americana.avi"
"Soda Stereo";"Prófugos";"N/A";"Rock";"Español";"Soda Stereo - Prófugos.txt";"C:\UltraStar canciones\Soda Stereo - Prófugos\Soda Stereo - Prófugos.txt";"C:\UltraStar canciones\Soda Stereo - Prófugos\Soda Stereo - Prófugos.mp3";"N/A"
"Soda Stereo";"Tratame suavemente";"N/A";"N/A";"Espa�ol";"Soda Stereo - Tratame suavemente.txt";"C:\UltraStar canciones\Soda Stereo - Tratame suavemente\Soda Stereo - Tratame suavemente.txt";"C:\UltraStar canciones\Soda Stereo - Tratame suavemente\Soda Stereo - Tratame suavemente.mp3";"C:\UltraStar canciones\Soda Stereo - Tratame suavemente\Soda Stereo - Tratame suavemente.avi"
"Soda Stereo";"Zoom";"N/A";"Rock";"Espa�ol";"Soda Stereo - Zoom.txt";"C:\UltraStar canciones\Soda Stereo - Zoom\Soda Stereo - Zoom.txt";"C:\UltraStar canciones\Soda Stereo - Zoom\Soda Stereo - Zoom.mp3";"C:\UltraStar canciones\Soda Stereo - Zoom\Soda Stereo - Zoom.mp4"
"Soft Cell";"Tainted Love";"N/A";"N/A";"N/A";"Soft Cell - Tainted Love.TXT";"C:\UltraStar canciones\S\Soft Cell - Tainted Love\Soft Cell - Tainted Love.TXT";"N/A";"N/A"
"Sonny and Cher";"I Got You Babe";"N/A";"Pop";"English";"Sonny and Cher - I Got You Babe.txt";"C:\UltraStar canciones\S\Sonny and Cher - I Got You Babe\Sonny and Cher - I Got You Babe.txt";"N/A";"N/A"
"Sophie Ellis Bextor";"Murder on the Dancefloor";"N/A";"N/A";"N/A";"Sophie Ellis Bextor - Murder on the Dancefloor.txt";"C:\UltraStar canciones\S\Sophie Ellis Bextor - Murder on the Dancefloor\Sophie Ellis Bextor - Murder on the Dancefloor.txt";"N/A";"N/A"
"Spandau Ballet";"Gold";"N/A";"N/A";"N/A";"Spandau Ballet - Gold.txt";"C:\UltraStar canciones\S\Spandau Ballet - Gold\Spandau Ballet - Gold.txt";"N/A";"N/A"
"Spice Girls";"Who do you think you are?";"N/A";"N/A";"N/A";"Spice Girls - Who do you think you are.TXT";"C:\UltraStar canciones\S\Spice Girls - Who do you think you are\Spice Girls - Who do you think you are.TXT";"N/A";"N/A"
"Spider Murphy Hang";"Skandal Im Sperrbezirk";"N/A";"N/A";"N/A";"Spider Murphy Hang - Skandal Im Sperrbezirk.TXT";"C:\UltraStar canciones\S\Spider Murphy Hang - Skandal Im Sperrbezirk\Spider Murphy Hang - Skandal Im Sperrbezirk.TXT";"N/A";"N/A"
"Sportfreunde Stiller";"Applaus Applaus";"N/A";"N/A";"German";"Sportfreunde Stiller - Applaus Applaus.txt";"C:\UltraStar canciones\S\Sportfreunde Stiller - Applaus Applaus\Sportfreunde Stiller - Applaus Applaus.txt";"N/A";"N/A"
"Staind";"Outside";"N/A";"N/A";"English";"Staind - Outside.txt";"C:\UltraStar canciones\S\Staind - Outside\Staind - Outside.txt";"N/A";"N/A"
"Starship";"Nothing's Gonna Stop Us Now";"N/A";"N/A";"English";"Starship - Nothing's Gonna Stop Us Now.txt";"C:\UltraStar canciones\S\Starship - Nothing's Gonna Stop Us Now\Starship - Nothing's Gonna Stop Us Now.txt";"N/A";"N/A"
"Steppenwolf";"Born to be wild";"N/A";"Rock";"English";"Steppenwolf - Born to be wild.txt";"C:\UltraStar canciones\S\Steppenwolf - Born to be wild\Steppenwolf - Born to be wild.txt";"N/A";"N/A"
"Steps";"Deeper Shade Of Blue";"N/A";"N/A";"N/A";"Steps - Deeper Shade Of Blue.txt";"C:\UltraStar canciones\S\Steps - Deeper Shade Of Blue\Steps - Deeper Shade Of Blue.txt";"N/A";"N/A"
"Stereoact feat. Kerstin Ott";"Die Immer Lacht (Official Video )";"N/A";"Pop";"German";"Stereoact feat. Kerstin Ott - Die Immer Lacht.txt";"C:\UltraStar canciones\S\Stereoact feat. Kerstin Ott - Die Immer Lacht\Stereoact feat. Kerstin Ott - Die Immer Lacht.txt";"N/A";"N/A"
"Stereophonics";"Dakota";"N/A";"Rock";"English";"Stereophonics - Dakota.txt";"C:\UltraStar canciones\S\Stereophonics - Dakota\Stereophonics - Dakota.txt";"N/A";"N/A"
"Stevie Wonder";"I just called to say I love you";"N/A";"N/A";"N/A";"Stevie Wonder - I just called to say I love you.txt";"C:\UltraStar canciones\S\Stevie Wonder - I just called to say I love you\Stevie Wonder - I just called to say I love you.txt";"N/A";"N/A"
"Stone Sour";"Bother";"N/A";"N/A";"Englisch";"Stone Sour - Bother.txt";"C:\UltraStar canciones\S\Stone Sour - Bother\Stone Sour - Bother.txt";"N/A";"N/A"
"Stone Sour";"Through Glass";"N/A";"N/A";"English";"Stone Sour - Through Glass.txt";"C:\UltraStar canciones\S\Stone Sour - Through Glass\Stone Sour - Through Glass.txt";"N/A";"N/A"
"Subway To Sally";"Kleid Aus Rosen";"N/A";"N/A";"N/A";"Subway To Sally - Kleid Aus Rosen.txt";"C:\UltraStar canciones\S\Subway To Sally - Kleid Aus Rosen\Subway To Sally - Kleid Aus Rosen.txt";"N/A";"N/A"
"Sugababes";"About You Now";"N/A";"N/A";"English";"Sugababes - About You Now.txt";"C:\UltraStar canciones\S\Sugababes - About You Now\Sugababes - About You Now.txt";"N/A";"N/A"
"Sugababes";"Red Dress";"N/A";"N/A";"English";"Sugababes - Red Dress.txt";"C:\UltraStar canciones\S\Sugababes - Red Dress\Sugababes - Red Dress.txt";"N/A";"N/A"
"Sugababes";"Round Round";"N/A";"N/A";"English";"Sugababes - Round Round.txt";"C:\UltraStar canciones\S\Sugababes - Round Round\Sugababes - Round Round.txt";"N/A";"N/A"
"Sugababes";"Too Lost In You";"N/A";"N/A";"English";"Sugababes - Too Lost In You.txt";"C:\UltraStar canciones\S\Sugababes - Too Lost In You\Sugababes - Too Lost In You.txt";"N/A";"N/A"
"Sugababes";"Ugly";"N/A";"Pop";"English";"Sugababes - Ugly.txt";"C:\UltraStar canciones\S\Sugababes - Ugly\Sugababes - Ugly.txt";"N/A";"N/A"
"Sunrise Ave";"Fairytale Gone Bad";"N/A";"Pop";"";"Sunrise Ave - Fairytale Gone Bad.txt";"C:\UltraStar canciones\S\Sunrise Avenue - Fairytale Gone Bad\Sunrise Ave - Fairytale Gone Bad.txt";"N/A";"N/A"
"Sunrise Avenue";"Hollywood Hills";"N/A";"Rock Alternative";"English";"Sunrise Avenue - Hollywood Hills.txt";"C:\UltraStar canciones\S\Sunrise Avenue - Hollywood Hills\Sunrise Avenue - Hollywood Hills.txt";"N/A";"N/A"
"Survivor";"Eye Of The Tiger";"N/A";"N/A";"English";"Survivor - Eye Of The Tiger.txt";"C:\UltraStar canciones\S\Survivor - Eye Of The Tiger\Survivor - Eye Of The Tiger.txt";"N/A";"N/A"
"System Of A Down";"Byob Uncut!";"N/A";"N/A";"N/A";"System Of A Down - Byob Uncut!.txt";"C:\UltraStar canciones\S\System Of A Down - Byob Uncut!\System Of A Down - Byob Uncut!.txt";"N/A";"N/A"
"System Of A Down";"Chop Suey";"N/A";"N/A";"N/A";"System Of A Down - Chop Suey.txt";"C:\UltraStar canciones\S\System Of A Down - Chop Suey\System Of A Down - Chop Suey.txt";"N/A";"N/A"
"System Of A Down";"Hypnotize";"N/A";"N/A";"N/A";"System Of A Down - Hypnotize.txt";"C:\UltraStar canciones\S\System Of A Down - Hypnotize\System Of A Down - Hypnotize.txt";"N/A";"N/A"
"System Of A Down";"Lonely Day";"N/A";"N/A";"N/A";"System Of A Down - Lonely Day.txt";"C:\UltraStar canciones\S\System Of A Down - Lonely Day\System Of A Down - Lonely Day.txt";"N/A";"N/A"
"Take That";"Back for Good";"N/A";"N/A";"English";"Take That - Back for Good.txt";"C:\UltraStar canciones\T\Take That - Back for Good\Take That - Back for Good.txt";"N/A";"N/A"
"Take That feat. Lulu";"Relight My Fire";"N/A";"N/A";"N/A";"Take That feat. Lulu - Relight My Fire.txt";"C:\UltraStar canciones\T\Take That feat. Lulu - Relight My fire\Take That feat. Lulu - Relight My Fire.txt";"N/A";"N/A"
"Tarzán";"Dos mundos";"N/A";"Bandas sonoras";"Español";"Tarzán - Dos mundos.txt";"C:\UltraStar canciones\Tarzán - Dos mundos\Tarzán - Dos mundos.txt";"C:\UltraStar canciones\Tarzán - Dos mundos\Tarzán - Dos mundos.mp3";"C:\UltraStar canciones\Tarzán - Dos mundos\Tarzán - Dos mundos.avi"
"Tarzán";"En mi corazón vivirás";"N/A";"N/A";"Español";"Tarzán - En mi corazón vivirás.txt";"C:\UltraStar canciones\Tarzán - En mi corazón vivirás\Tarzán - En mi corazón vivirás.txt";"C:\UltraStar canciones\Tarzán - En mi corazón vivirás\Tarzán - En mi corazón vivirás.mp3";"C:\UltraStar canciones\Tarzán - En mi corazón vivirás\Tarzán - En mi corazón vivirás.mp4"
"Tarzán";"Hijo de hombre";"N/A";"N/A";"Español";"Tarzán - Hijo de hombre.txt";"C:\UltraStar canciones\Tarzán - Hijo de hombre\Tarzán - Hijo de hombre.txt";"C:\UltraStar canciones\Tarzán - Hijo de hombre\Tarzán - Hijo de hombre.mp3";"C:\UltraStar canciones\Tarzán - Hijo de hombre\Tarzán - Hijo de hombre.avi"
"Taylor Swift";"Wildest Dreams";"N/A";"N/A";"English";"Taylor Swift - Wildest Dreams.txt";"C:\UltraStar canciones\T\Taylor Swift - Wildest Dreams\Taylor Swift - Wildest Dreams.txt";"N/A";"N/A"
"Taylor Swift";"You Belong With Me";"N/A";"N/A";"English";"Taylor Swift - You Belong With Me.txt";"C:\UltraStar canciones\T\Taylor Swift - You Belong With Me\Taylor Swift - You Belong With Me.txt";"N/A";"N/A"
